fpr,tpr
0.0,0.0
0.0,0.019508670520231215
0.0,0.028901734104046242
0.0,0.03251445086705202
0.0,0.033236994219653176
0.0,0.03540462427745665
0.0,0.04552023121387283
0.0,0.046242774566473986
0.0,0.05563583815028902
0.0,0.06069364161849711
0.0,0.06213872832369942
0.0,0.06358381502890173
0.0,0.07297687861271676
0.0,0.07442196531791907
0.0,0.0773121387283237
0.0,0.078757225433526
0.0,0.08526011560693642
0.0,0.08670520231213873
0.0,0.08742774566473989
0.0,0.09393063583815028
0.0,0.0953757225433526
0.0,0.09609826589595376
0.0,0.10043352601156069
0.0,0.10115606936416185
0.0,0.10910404624277456
0.0,0.11343930635838151
0.0,0.12716763005780346
0.0,0.12789017341040462
0.0,0.12933526011560695
0.0,0.13439306358381503
0.0,0.14089595375722544
0.0,0.1416184971098266
0.0,0.1495664739884393
0.0,0.15679190751445088
0.0,0.157514450867052
0.0,0.16040462427745664
0.0,0.16401734104046242
0.0,0.17052023121387283
0.0,0.17485549132947978
0.0,0.20086705202312138
0.0,0.2023121387283237
0.0,0.26445086705202314
0.0,0.2666184971098266
0.0,0.2695086705202312
0.0,0.2709537572254335
0.0,0.2781791907514451
0.0,0.28901734104046245
0.0,0.2911849710982659
0.0,0.3229768786127168
0.0,0.3236994219653179
0.0,0.3258670520231214
0.0,0.3338150289017341
0.0,0.3345375722543353
0.0,0.33670520231213874
0.0,0.3374277456647399
0.0,0.351878612716763
0.0,0.35260115606936415
0.0,0.3591040462427746
0.0,0.36054913294797686
0.0,0.36127167630057805
0.0,0.3735549132947977
0.0,0.375
0.0,0.3764450867052023
0.0,0.37716763005780346
0.0,0.38078034682080925
0.0,0.38222543352601157
0.0,0.3829479768786127
0.0,0.3930635838150289
0.0,0.39667630057803466
0.0,0.40028901734104044
0.0,0.4161849710982659
0.0,0.42052023121387283
0.0,0.42196531791907516
0.0,0.4234104046242775
0.0,0.42557803468208094
0.0,0.4320809248554913
0.0,0.43641618497109824
0.0,0.44147398843930635
0.0,0.444364161849711
0.0,0.4458092485549133
0.0,0.4486994219653179
0.0,0.4508670520231214
0.0,0.4523121387283237
0.0,0.4552023121387283
0.0,0.45809248554913296
0.0,0.46098265895953755
0.0,0.4624277456647399
0.0,0.4703757225433526
0.0,0.47398843930635837
0.0,0.48627167630057805
0.0,0.4884393063583815
0.0,0.4920520231213873
0.0,0.49277456647398843
0.0,0.4949421965317919
0.0,0.5108381502890174
0.0,0.5115606936416185
0.0,0.5187861271676301
0.0,0.5202312138728323
0.0,0.5216763005780347
0.0,0.5252890173410405
0.0,0.5260115606936416
0.0,0.5289017341040463
0.0,0.5296242774566474
0.0,0.5310693641618497
0.0,0.5317919075144508
0.0,0.5346820809248555
0.0,0.5361271676300579
0.0,0.536849710982659
0.0,0.5628612716763006
0.0,0.5686416184971098
0.0,0.5708092485549133
0.0,0.5715317919075145
0.0,0.5758670520231214
0.0,0.5982658959537572
0.0,0.6091040462427746
0.0,0.6098265895953757
0.0,0.619942196531792
0.0,0.6372832369942196
0.0,0.6452312138728323
0.0,0.6466763005780347
0.0,0.6517341040462428
0.0,0.6539017341040463
0.0,0.6567919075144508
0.0,0.6611271676300579
0.0,0.6697976878612717
0.0,0.6726878612716763
0.0,0.6784682080924855
0.0,0.6813583815028902
0.0,0.6820809248554913
0.0,0.7088150289017341
0.0,0.7102601156069365
0.0,0.7117052023121387
0.0,0.7160404624277457
0.0,0.7167630057803468
0.0,0.7189306358381503
0.0,0.7384393063583815
0.0,0.7391618497109826
0.0,0.740606936416185
0.0,0.7420520231213873
0.0,0.7543352601156069
0.0,0.755057803468208
0.0,0.7630057803468208
0.0,0.763728323699422
0.0,0.7666184971098265
0.0,0.7687861271676301
0.0,0.7745664739884393
0.0,0.7767341040462428
